Latitude,Longitude
19.8172,41.3317
1.52181,42.5075
16.3728,48.2092
27.5766,53.9678
4.36767,50.8371
18.4214,43.8608
23.3238,42.7105
15.9785,50.815
14.4205,50.0878
12.5681,55.6763
24.7545,59.4389
24.9384,60.1699
2.35103,48.8567
13.4115,52.5235
23.7166,37.9792
19.0408,47.4984
-21.895,64.1353
-6.2675,53.3441
12.4823,41.8955
21.1788,42.674
24.1049,56.9465
25.2799,54.6896
6.12962,49.61
14.5189,35.9042
28.8497,47.0167
19.2595,42.4602
4.89101,52.3738
21.4361,42.0024
10.7387,59.9138
21.0122,52.2297
-9.1355,38.7072
26.0979,44.4479
37.6176,55.7558
12.4578,43.9424
20.4781,44.8048
17.1547,48.2116
14.506,46.0514
18.0645,59.3328
7.44815,46.948
30.5367,50.4422
-0.1262,51.5002